Iceland,アイスランド,OK
Ireland,アイルランド,OK
Azerbaijan,アゼルバイジャン,RC
United States,アメリカ合衆国,OK
United Arab Emirates,アラブ首長国連邦,OK
Algeria,アルジェリア,OK
Argentina,アルゼンチン,OK
Yemen,イエメン,NG
Israel,イスラエル,OK
Italy,イタリア,OK
Iraq,イラク,OK
Iran,イラン・イスラム共和国,OK
India,インド,RC
Indonesia,インドネシア,OK
Uganda,ウガンダ,OK
Ukraine,ウクライナ,RC
Uruguay,ウルグアイ,OK
Ecuador,エクアドル,OK
Egypt,エジプト,OK
Estonia,エストニア,OK
Ethiopia,エチオピア,OK
El Salvador,エルサルバドル,OK
Oman,オマーン,OK
Netherlands,オランダ,OK
Australia,オーストラリア,OK
Austria,オーストリア,OK
Qatar,カタール,OK
Canada,カナダ,OK
Cambodia,カンボジア,OK
Gabon,ガボン,RC
Ghana,ガーナ,OK
Cyprus,キプロス,OK
Cuba,キューバ,OK
Greece,ギリシャ,OK
Kuwait,クウェート,OK
Croatia,クロアチア,OK
Guatemala,グアテマラ,NG
Guam,グアム,OK
Kenya,ケニア,RC
Costa Rica,コスタリカ,OK
Colombia,コロンビア,OK
Côte d'Ivoire,コートジボワール,OK
Saipan,サイパン(北マリアナ諸島),OK
Saudi Arabia,サウジアラビア,OK
Sierra Leone,シエラレオネ,RC
Syrian Arab Republic,シリア・アラブ共和国,OK
Singapore,シンガポール,OK
Djibouti,ジブチ,OK
Gibraltar,ジブラルタル,NG
Jamaica,ジャマイカ,OK
Zimbabwe,ジンバブエ,OK
Switzerland,スイス,OK
Sweden,スウェーデン,OK
Spain,スペイン,OK
Sri Lanka,スリランカ,OK
Slovakia,スロバキア,OK
Slovenia,スロベニア,OK
Sudan,スーダン,RC
Senegal,セネガル,OK
Somalia,ソマリア,NG
Solomon Islands,ソロモン諸島,RC
Thailand,タイ,OK
Tanzania,タンザニア,RC
Czech Republic,チェコ,OK
Chad,チャド,NG
Tunisia,チュニジア,OK
Chile,チリ,OK
Denmark,デンマーク,OK
Trinidad and Tobago,トリニダード・トバゴ,OK
Turkey,トルコ,OK
Togo,トーゴ,OK
Germany,ドイツ,OK
Nigeria,ナイジェリア,OK
New Caledonia,ニューカレドニア,OK
New Zealand,ニュージーランド,OK
Nepal,ネパール,RC
Norway,ノルウェー,OK
Hungary,ハンガリー,OK
Barbados,バルバドス,OK
Bangladesh,バングラデシュ,OK
Bahrain,バーレーン,OK
Pakistan,パキスタン,RC
Panama,パナマ,OK
Papua New Guinea,パプアニューギニア,OK
Paraguay,パラグアイ,OK
Fiji,フィジー,OK
Philippines,フィリピン,RC
Finland,フィンランド,OK
France,フランス,OK
Brazil,ブラジル,OK
Bulgaria,ブルガリア,OK
Brunei Darussalam,ブルネイ・ダルサラーム,RC
Bhutan,ブータン,RC
Viet Nam,ベトナム,OK
Venezuela,ベネズエラ・ボリバル共和国,OK
Belarus,ベラルーシ,OK
Belgium,ベルギー,OK
Peru,ペルー,OK
Honduras,ホンジュラス,OK
Botswana,ボツワナ,RC
Bolivia,ボリビア多民族国,NG
Portugal,ポルトガル,OK
Poland,ポーランド,OK
Macao,マカオ,OK
Macedonia,マケドニア旧ユーゴスラビア共和国,OK
Madagascar,マダガスカル,RC
Malta,マルタ,OK
Malaysia,マレーシア,OK
Marshall Islands,マーシャル諸島,NG
Micronesia,ミクロネシア連邦,NG
Myanmar,ミャンマー,RC
Mexico,メキシコ,OK
Monaco,モナコ,OK
Maldives,モルディブ,RC
Morocco,モロッコ,OK
Mongolia,モンゴル,OK
Mauritius,モーリシャス,OK
Jordan,ヨルダン,OK
Laos,ラオス人民民主共和国,OK
Latvia,ラトビア,OK
Lithuania,リトアニア,OK
Liechtenstein,リヒテンシュタイン,OK
Libyan Arab Jamahiriya,リビア,NG
Liberia,リベリア,NG
Luxembourg,ルクセンブルグ,OK
Rwanda,ルワンダ,OK
Romania,ルーマニア,OK
Russian Federation,ロシア,RC
China,中華人民共和国 (中国),OK
South Africa,南アフリカ共和国,OK
Taiwan,台湾,OK
United Kingdom,イギリス,OK
Korea,大韓民国 (韓国),OK
Hong Kong,香港,OK
Japan,日本,OK
