1,1500,1500,1500,1500,1500,1500,1500,1500
2,3000,3000,3000,3000,3000,3000,3000,3000
3,4500,4500,4500,4500,4500,4500,4500,4500
4,6000,6000,6000,6000,6000,6000,6000,6000
5,7500,7500,7500,7500,7500,7500,7500,7500
6,9000,9000,9000,9000,9000,9000,9000,9000
7,10500,10500,10500,10500,10500,10500,10500
8,12000,12000,12000,12000,12000,12000,12000
9,13500,13500,13500,13500,13500,13500,13500
10,15000,15000,15000,15000,15000,15000,15000
11,16500,16500,16500,16500,16500,16500,16500
12,18000,18000,18000,18000,18000,18000,18000
13,19500,19500,19500,19500,19500,19500,19500
14,21000,21000,21000,21000,21000,21000,21000
15,22500,22500,22500,22500,22500,22500,22500
16,24000,24000,24000,24000,24000,24000,24000
17,25500,25500,25500,25500,25500,25500,25500
18,27000,27000,27000,27000,27000,27000,27000
19,28500,28500,28500,28500,28500,28500,28500
20,30000,30000,30000,30000,30000,30000,30000
